poverty_female,poverty_male,poverty_family,Year
413.0,230.0,117.0,2018
187.0,49.0,8.0,2018
139.0,104.0,56.0,2018
4760.0,3832.0,1677.0,2018
347.0,165.0,126.0,2018
1668.0,1204.0,537.0,2018
1971.0,1619.0,671.0,2018
2616.0,2047.0,987.0,2018
922.0,537.0,309.0,2018
521.0,216.0,108.0,2018
1590.0,746.0,451.0,2018
278.0,185.0,58.0,2018
24.0,16.0,16.0,2018
141.0,2.0,0.0,2018
547.0,559.0,194.0,2018
402.0,283.0,80.0,2018
184.0,90.0,74.0,2018
129.0,143.0,61.0,2018
453.0,272.0,159.0,2018
496.0,259.0,91.0,2018
69.0,56.0,19.0,2018
4209.0,2985.0,1297.0,2018
420.0,373.0,183.0,2018
27.0,31.0,27.0,2018
81.0,73.0,0.0,2018
79.0,51.0,46.0,2018
299.0,221.0,80.0,2018
28.0,45.0,0.0,2018
103.0,59.0,22.0,2018
933.0,686.0,315.0,2018
14.0,17.0,14.0,2018
325.0,280.0,156.0,2018
331.0,391.0,129.0,2018
13.0,0.0,0.0,2018
1700.0,875.0,532.0,2018
58.0,85.0,18.0,2018
632.0,321.0,143.0,2018
193.0,170.0,14.0,2018
158.0,103.0,46.0,2018
25.0,24.0,0.0,2018
42.0,22.0,11.0,2018
148.0,93.0,22.0,2018
224.0,361.0,81.0,2018
31.0,24.0,4.0,2018
156.0,142.0,91.0,2018
75.0,37.0,38.0,2018
138.0,72.0,29.0,2018
0.0,0.0,0.0,2018
126.0,93.0,49.0,2018
264.0,278.0,113.0,2018
242.0,138.0,49.0,2018
1761.0,1363.0,505.0,2018
0.0,0.0,0.0,2018
825.0,562.0,222.0,2018
1249.0,917.0,482.0,2018
76.0,183.0,28.0,2018
85.0,0.0,0.0,2018
374.0,335.0,179.0,2018
5470.0,5085.0,2068.0,2018
1633.0,1123.0,534.0,2018
3237.0,2929.0,1193.0,2018
1531.0,1073.0,512.0,2018
928.0,548.0,264.0,2018
663.0,257.0,177.0,2018
0.0,0.0,0.0,2018
0.0,0.0,0.0,2018
103.0,68.0,19.0,2018
0.0,0.0,0.0,2018
50.0,45.0,18.0,2018
496.0,435.0,224.0,2018
924.0,845.0,324.0,2018
249.0,244.0,30.0,2018
1470.0,1090.0,86.0,2018
717.0,576.0,314.0,2018
1290.0,737.0,323.0,2018
596.0,550.0,133.0,2018
959.0,752.0,287.0,2018
1131.0,987.0,333.0,2018
91.0,56.0,27.0,2018
2360.0,1943.0,638.0,2018
40.0,0.0,0.0,2018
4925.0,4916.0,1954.0,2018
286.0,159.0,71.0,2018
0.0,11.0,0.0,2018
1494.0,1259.0,219.0,2018
3090.0,2323.0,845.0,2018
3451.0,2634.0,1170.0,2018
2137.0,1950.0,418.0,2018
4484.0,3941.0,1718.0,2018
4682.0,2908.0,1490.0,2018
6819.0,4979.0,2338.0,2018
1221.0,858.0,447.0,2018
1191.0,523.0,293.0,2018
0.0,0.0,0.0,2018
1504.0,844.0,432.0,2018
887.0,797.0,227.0,2018
209.0,197.0,76.0,2018
354.0,225.0,70.0,2018
932.0,1083.0,284.0,2018
1874.0,1399.0,509.0,2018
240.0,179.0,37.0,2018
110.0,43.0,13.0,2018
51.0,46.0,0.0,2018
36.0,20.0,11.0,2018
76.0,93.0,18.0,2018
48.0,111.0,34.0,2018
148.0,100.0,67.0,2018
1474.0,1137.0,580.0,2018
182.0,407.0,102.0,2018
36.0,20.0,15.0,2018
52.0,69.0,10.0,2018
582.0,255.0,233.0,2018
20.0,7.0,0.0,2018
54.0,55.0,9.0,2018
130.0,43.0,10.0,2018
57.0,38.0,16.0,2018
648.0,617.0,222.0,2018
121.0,78.0,67.0,2018
425.0,308.0,169.0,2018
562.0,391.0,111.0,2018
297.0,248.0,67.0,2018
54.0,55.0,26.0,2018
2313.0,1935.0,653.0,2018
729.0,613.0,232.0,2018
599.0,480.0,187.0,2018
975.0,976.0,413.0,2018
33.0,67.0,20.0,2018
77.0,124.0,44.0,2018
277.0,249.0,136.0,2018
403.0,433.0,126.0,2018
665.0,605.0,264.0,2018
24.0,37.0,17.0,2018
48.0,50.0,3.0,2018
48.0,39.0,19.0,2018
55.0,39.0,14.0,2018
431.0,368.0,99.0,2018
2397.0,2132.0,926.0,2018
3642.0,2940.0,1310.0,2018
2052.0,1739.0,435.0,2018
316.0,295.0,76.0,2018
367.0,181.0,94.0,2018
214.0,179.0,86.0,2018
0.0,0.0,0.0,2018
68.0,136.0,15.0,2018
178.0,172.0,81.0,2018
9.0,30.0,9.0,2018
336.0,248.0,101.0,2018
87.0,69.0,22.0,2018
424.0,277.0,102.0,2018
68.0,86.0,13.0,2018
52.0,25.0,5.0,2018
97.0,90.0,22.0,2018
20.0,54.0,10.0,2018
43.0,24.0,13.0,2018
177.0,74.0,51.0,2018
25.0,16.0,8.0,2018
6.0,0.0,0.0,2018
0.0,0.0,0.0,2018
88.0,63.0,19.0,2018
672.0,313.0,185.0,2018
62.0,58.0,10.0,2018
0.0,12.0,0.0,2018
45.0,56.0,17.0,2018
31.0,47.0,13.0,2018
265.0,94.0,7.0,2018
33.0,31.0,11.0,2018
126.0,188.0,62.0,2018
122.0,94.0,34.0,2018
1141.0,778.0,318.0,2018
392.0,173.0,104.0,2018
62.0,79.0,22.0,2018
305.0,418.0,184.0,2018
126.0,125.0,40.0,2018
18.0,10.0,5.0,2018
91.0,116.0,19.0,2018
113.0,123.0,51.0,2018
114.0,39.0,39.0,2018
15.0,3.0,0.0,2018
5.0,0.0,0.0,2018
108.0,79.0,47.0,2018
48.0,31.0,7.0,2018
346.0,287.0,131.0,2018
313.0,413.0,192.0,2018
174.0,109.0,39.0,2018
30.0,29.0,13.0,2018
79.0,55.0,19.0,2018
0.0,0.0,0.0,2018
454.0,350.0,186.0,2018
208.0,188.0,64.0,2018
90.0,125.0,31.0,2018
78.0,88.0,29.0,2018
12.0,23.0,6.0,2018
346.0,211.0,87.0,2018
42.0,57.0,17.0,2018
15.0,48.0,11.0,2018
40.0,7.0,11.0,2018
67.0,11.0,4.0,2018
96.0,43.0,19.0,2018
61.0,21.0,22.0,2018
0.0,10.0,0.0,2018
2172.0,1338.0,651.0,2018
536.0,370.0,135.0,2018
110.0,93.0,45.0,2018
176.0,223.0,47.0,2018
1595.0,1281.0,291.0,2018
91.0,150.0,46.0,2018
26.0,20.0,12.0,2018
47.0,18.0,9.0,2018
0.0,0.0,0.0,2018
31.0,41.0,10.0,2018
43.0,17.0,7.0,2018
210.0,186.0,86.0,2018
56.0,60.0,16.0,2018
30.0,27.0,4.0,2018
20.0,7.0,3.0,2018
12.0,42.0,7.0,2018
238.0,283.0,116.0,2018
336.0,311.0,59.0,2018
90.0,89.0,29.0,2018
44.0,50.0,20.0,2018
37.0,43.0,14.0,2018
259.0,212.0,50.0,2018
165.0,161.0,48.0,2018
35.0,0.0,0.0,2018
22.0,14.0,3.0,2018
68.0,68.0,27.0,2018
0.0,15.0,0.0,2018
36.0,22.0,10.0,2018
496.0,357.0,153.0,2018
647.0,476.0,198.0,2018
722.0,925.0,353.0,2018
175.0,165.0,64.0,2018
0.0,40.0,0.0,2018
205.0,176.0,64.0,2018
20.0,20.0,7.0,2018
44.0,20.0,11.0,2018
69.0,56.0,25.0,2018
143.0,96.0,22.0,2018
